KASJ,"Ahoskie, Tri-County Airport",America/New_York,36.2975,-77.17083
KASL,Marshall,America/Chicago,32.5205,-94.3078
KASN,Talladega Municipal Airport,America/Chicago,33.5695,-86.0512
KAST,"Astoria, Astoria Regional Airport",America/Los_Angeles,46.15694,-123.8825
KASW,"Warsaw, Warsaw Municipal Airport",America/Indiana/Indianapolis,41.27444,-85.84
KASX,"Ashland, Kennedy Memorial Airport",America/Chicago,46.54972,-90.91833
KATL,"Atlanta, Hartsfield - Jackson Atlanta International Airport",America/New_York,33.64028,-84.42694
KATP,Green Canyon 787 Atlantis,America/Chicago,27.195,-90.027
KATS,"Artesia, Artesia Municipal Airport",America/Denver,32.8525,-104.4675
KATT,"Austin City, Austin Camp Mabry",America/Chicago,30.31667,-97.76667
KATW,Appleton-Outagamie,America/Chicago,44.2595,-88.51567
KATY,"Watertown, Watertown Municipal Airport",America/Chicago,44.90472,-97.14944
KAUD,Audubon Park,America/Chicago,29.93333,-90.13333
KAUG,"Augusta, Augusta State Airport",America/New_York,44.32056,-69.79722
KAUH,"Aurora, Aurora Municipal Airport",America/Chicago,40.89389,-97.99444
KAUM,Austin Municipal,America/Chicago,43.66667,-92.93333
KAUN,Auburn Municipal Airport,America/Los_Angeles,38.95535,-121.08636
KAUO,Auburn-Opelika Airport,America/Chicago,32.61667,-85.43333
KAUS,Austin-Bergstrom International Airport,America/Chicago,30.18304,-97.6798699
KAUW,"Wausau, Wausau Downtown Airport",America/Chicago,44.92861,-89.62667
KAVC,"South Hill, Mecklenburg-Brunswick Regional Airport",America/New_York,36.68861,-78.05417
KAVK,"Alva, Alva Regional Airport",America/Chicago,36.77306,-98.67
KAVL,"Asheville, Asheville Regional Airport",America/New_York,35.43194,-82.5375
KAVP,"Wilkes-Barre - Scranton, Wilkes-Barre / Scranton International Airport",America/New_York,41.33889,-75.72667
KAVQ,Tucson Marana Regional Airport,America/Phoenix,32.4096,-111.2184
KAVX,Avalon Catalina Airport,America/Los_Angeles,33.40421,-118.41456
KAWG,Washington,America/Chicago,41.28333,-91.66667
KAWM,"West Memphis, West Memphis Municipal Airport",America/Chicago,35.13333,-90.23333
KAWO,Arlington Municipal,America/Los_Angeles,48.16667,-122.16667
KAXA,Algona,America/Chicago,43.0833299,-94.26667
KAXH,Houston Southwest Airport,America/Chicago,29.50613,-95.47692
KAXN,"Alexandria, Chandler Field",America/Chicago,45.8686099,-95.39417
KAXO,Grand Isle Supplementary Aviation Weather Reporting Station,America/Chicago,29.25,-89.9666699
KAXS,"Altus, Altus/Quartz Mountain Regional Airport",America/Chicago,34.69861,-99.33806
KAXV,WAPAKONETA,America/New_York,40.49333,-84.299
KAXX,Angel Fire Airport,America/Denver,36.42586,-105.29028
KAYS,"Waycross / Ware County, Ga",America/New_York,31.25,-82.4
KAZC,"Colorado City, Colorado City Municipal Airport",America/Phoenix,36.95,-113
KAZE,Hazlehurst Airport,America/New_York,31.8847,-82.6474
KAZO,"Kalamazoo, Kalamazoo / Battle Creek International Airport",America/Detroit,42.22917,-85.54639
KBAB,"Marysville, Beale Air Force Base",America/Los_Angeles,39.13333,-121.43333
KBAC,Valley City,America/Chicago,46.9412,-98.018
KBAD,Barksdale Air Force Base,America/Chicago,32.5,-93.66667
KBAF,"Westfield, Barnes Municipal Airport",America/New_York,42.15972,-72.71278
KBAK,Columbus / Bakalar,America/Indiana/Indianapolis,39.26667,-85.9
KBAN,MCMWTC BRIDGEPORT,America/Los_Angeles,38.3557,-119.5188
KBAX,"Bad Axe, Huron County Memorial Airport",America/Detroit,43.78083,-82.98556
KBAZ,"New Braunfels, New Braunfels Municipal Airport",America/Chicago,29.70861,-98.04528
KBBB,Benson Municipal Airport,America/Chicago,45.3309799,-95.64692
KBBD,"Brady, Curtis Field Airport",America/Chicago,31.17917,-99.32389
KBBF,BRAZOS 133 OIL PLATFORM,America/Chicago,27.83,-96.02
KBBG,Branson,America/Chicago,36.5321,-93.2005
KBBP,Marlboro County Jetport,America/New_York,34.622,-79.734
KBBW,"Broken Bow, Broken Bow Municipal Airport",America/Chicago,41.43333,-99.65
KBCB,Virginia Tech Airport,America/New_York,37.21667,-80.41667
KBCE,Bryce Canyon Airport,America/Denver,37.7012799,-112.14897
KBCK,Black River Falls Area Airport,America/Chicago,44.24996,-90.84999
KBCT,"Boca Raton, Boca Raton Airport",America/New_York,26.3786099,-80.10778
KBDE,Baudette International Airport,America/Chicago,48.72605,-94.61215
KBDG,BLANDING,America/Denver,37.62,-109.47
KBDH,Willmar Municipal Airport - John L. Rice Field,America/Chicago,45.11113,-95.1258299
KBDL,"Windsor Locks, Bradley International Airport",America/New_York,41.93806,-72.6825
KBDN,Bend Airport AWOS,America/Los_Angeles,44.0948,-121.2006
KBDR,"Bridgeport, Sikorsky Memorial Airport",America/New_York,41.16421,-73.12663
KBDU,Boulder Municipal Airport,America/Denver,40.0394297,-105.2258217
KBEA,Beeville Municipal Airport,America/Chicago,28.362,-97.791
KBED,"Bedford, Hanscom Field",America/New_York,42.46833,-71.29444
KBEH,"Benton Harbor, Southwest Michigan Regional Airport",America/Detroit,42.12861,-86.42833
KBFD,Bradford Regional Airport,America/New_York,41.79838,-78.63539
KBFF,"Scottsbluff, Heilig Field",America/Denver,41.86694,-103.58583
KBFI,"Seattle, Seattle Boeing Field",America/Los_Angeles,47.54583,-122.31361
KBFL,"Bakersfield, Meadows Field Airport",America/Los_Angeles,35.43361,-119.05667
KBFM,"Mobile, Mobile Downtown Airport",America/Chicago,30.61389,-88.0633299
KBFU,Belle Fourche US 59 south of Gillette,America/Denver,43.9325,-105.4467
KBFW,Silver Bay,America/Chicago,47.25206,-91.40983
KBGD,"Borger, Hutchinson County Airport",America/Chicago,35.695,-101.395
KBGE,"Bainbridge, Decatur County Industrial Air Park Airport",America/New_York,30.96667,-84.63333
KBGF,Winchester Municipal Airport,America/Chicago,35.1775,-86.0662
KBGM,"Binghamton, Binghamton Regional Airport",America/New_York,42.20778,-75.98139
KBGR,"Bangor, Bangor International Airport",America/New_York,44.79722,-68.81861
KBHB,"Bar Harbor, Hancock County-Bar Harbor Airport",America/New_York,44.45,-68.36667
KBHC,Baxley Municipal Airport,America/New_York,31.7138,-82.3938
KBHK,"Baker, Baker Municipal Airport",America/Denver,46.34778,-104.2574999
KBHM,"Birmingham, Birmingham International Airport",America/Chicago,33.56556,-86.745
KBID,Block Island State Airport,America/New_York,41.1694699,-71.5787299
KBIE,Beatrice Municipal,America/Chicago,40.3,-96.75
KBIF,Biggs Army Air Field - Fort Bliss,America/Denver,31.86119,-106.3691599
KBIH,"Bishop, Bishop Airport",America/Los_Angeles,37.37111,-118.35806
KBIJ,"Blakely, Early County Airport",America/New_York,31.39694,-84.895
KBIL,"Billings, Billings Logan International Airport",America/Denver,45.80694,-108.54222
KBIS,"Bismarck, Bismarck Municipal Airport",America/Chicago,46.7825,-100.75722
KBIT,Bitter Creek I-80 east of Rock Springs,America/Denver,41.64599,-108.5836
KBIV,Holland - West Michigan Regional Airport,America/Detroit,42.74611,-86.09667
KBIX,Keesler Air Force Base / Biloxi,America/Chicago,30.41667,-88.91667
